rank,Investors,deal_count
1,Y Combinator,84
2,Mirae Asset,83
3,Info Edge,82
4,Accel,80
5,IFC,78
6,Kalaari Capital,77
6,Sequoia Capital India,77
8,Prosus Ventures,75
9,Tiger Global Management,74
10,Ribbit Capital,73
10,Nexus Venture Partners,73
12,Zodius Capital,72
13,Kedaara Capital,70
14,Peak XV,69
15,Elevation Capital,67
15,SoftBank Vision Fund,67
15,Omidyar Network,67
15,Blume Ventures,67
19,Tiger Global,66
20,Ventures India,65
20,Falcon Edge,65
22,A91 Partners,64
22,LCatterton,64
24,Matrix Partners India,61
25,Bessemer Venture Partners,60
26,Lightspeed India,55
