Industry,Year,total_funding_usd,deal_count,previous_year_funding_usd,yoy_change_percent
AgriTech,2020,609770000,16,,
AgriTech,2021,296223000,11,609770000.0,-51.42
AgriTech,2022,134158000,18,296223000.0,-54.71
AgriTech,2023,191129000,13,134158000.0,42.47
AgriTech,2024,524078000,17,191129000.0,174.2
AgriTech,2025,387201000,7,524078000.0,-26.12
Consumer Electronics,2020,182886000,18,,
Consumer Electronics,2021,750328000,21,182886000.0,310.27
Consumer Electronics,2022,157918000,15,750328000.0,-78.95
Consumer Electronics,2023,71029000,12,157918000.0,-55.02
Consumer Electronics,2024,921351000,15,71029000.0,1197.15
Consumer Electronics,2025,619977000,6,921351000.0,-32.71
E-commerce,2020,290972000,14,,
E-commerce,2021,844740000,23,290972000.0,190.32
E-commerce,2022,14172000,13,844740000.0,-98.32
E-commerce,2023,144241000,13,14172000.0,917.79
E-commerce,2024,325689000,20,144241000.0,125.8
E-commerce,2025,152730000,7,325689000.0,-53.11
EdTech,2020,377572000,18,,
EdTech,2021,33978000,14,377572000.0,-91.0
EdTech,2022,208802000,10,33978000.0,514.52
EdTech,2023,216741000,15,208802000.0,3.8
EdTech,2024,710206000,13,216741000.0,227.67
EdTech,2025,79927000,8,710206000.0,-88.75
Enterprise,2020,134414000,14,,
Enterprise,2021,546749000,11,134414000.0,306.76
Enterprise,2022,439443000,14,546749000.0,-19.63
Enterprise,2023,119408000,13,439443000.0,-72.83
Enterprise,2024,79992000,11,119408000.0,-33.01
Enterprise,2025,94026000,3,79992000.0,17.54
FinTech,2020,233824000,20,,
FinTech,2021,523515000,7,233824000.0,123.89
FinTech,2022,170109000,12,523515000.0,-67.51
FinTech,2023,308121000,11,170109000.0,81.13
FinTech,2024,353757000,19,308121000.0,14.81
FinTech,2025,42049000,4,353757000.0,-88.11
FoodTech,2020,107097000,13,,
FoodTech,2021,1125922000,14,107097000.0,951.31
FoodTech,2022,332168000,9,1125922000.0,-70.5
FoodTech,2023,659779000,22,332168000.0,98.63
FoodTech,2024,817939000,15,659779000.0,23.97
FoodTech,2025,434377000,7,817939000.0,-46.89
HealthTech,2020,654109000,15,,
HealthTech,2021,421952000,12,654109000.0,-35.49
HealthTech,2022,102956000,13,421952000.0,-75.6
HealthTech,2023,114928000,15,102956000.0,11.63
HealthTech,2024,314944000,13,114928000.0,174.04
HealthTech,2025,14628000,8,314944000.0,-95.36
Logistics,2020,2447000,6,,
Logistics,2021,279161000,4,2447000.0,11308.3
Logistics,2022,109766000,15,279161000.0,-60.68
Logistics,2023,581192000,16,109766000.0,429.48
Logistics,2024,396962000,13,581192000.0,-31.7
Logistics,2025,2521000,3,396962000.0,-99.36
Media,2020,1006782000,16,,
Media,2021,238148000,13,1006782000.0,-76.35
Media,2022,428421000,14,238148000.0,79.9
Media,2023,348381000,20,428421000.0,-18.68
Media,2024,253923000,18,348381000.0,-27.11
Media,2025,16794000,4,253923000.0,-93.39
Mobility,2020,452298000,9,,
Mobility,2021,149777000,17,452298000.0,-66.89
Mobility,2022,953594000,17,149777000.0,536.68
Mobility,2023,525692000,15,953594000.0,-44.87
Mobility,2024,131175000,20,525692000.0,-75.05
Mobility,2025,247560000,8,131175000.0,88.72
RealEstate,2020,398737000,10,,
RealEstate,2021,24985000,14,398737000.0,-93.73
RealEstate,2022,436040000,16,24985000.0,1645.21
RealEstate,2023,54859000,17,436040000.0,-87.42
RealEstate,2024,329440000,19,54859000.0,500.52
RealEstate,2025,23371000,3,329440000.0,-92.91
Retail,2020,261656000,16,,
Retail,2021,724545000,15,261656000.0,176.91
Retail,2022,794386000,17,724545000.0,9.64
Retail,2023,286791000,14,794386000.0,-63.9
Retail,2024,287669000,20,286791000.0,0.31
Retail,2025,318027000,7,287669000.0,10.55
SaaS,2020,44101000,10,,
SaaS,2021,64876000,7,44101000.0,47.11
SaaS,2022,227742000,17,64876000.0,251.04
SaaS,2023,379690000,17,227742000.0,66.72
SaaS,2024,532683000,12,379690000.0,40.29
SaaS,2025,380027000,9,532683000.0,-28.66
