order_id,user_id,product_id,product_name,category,base_price,price,amount,quantity,status,region,priority,old_name,order_date
10001,5012.0,P2679,Mixer,Home Appliances,2098.36,2098.36,7428.19,3,Completed,West,High,Product_8,2026-02-17
10002,4257.0,P9928,Table,Furniture,40477.89,40477.89,47763.91,1,Shipped,South,Medium,Product_151,2026-05-23
10003,5552.0,P6514,Phone,Electronics,55881.34,55881.34,197819.94,3,Completed,North,Medium,Product_25,2026-07-03
10004,9785.0,P7201,Jacket,Clothing,64589.55,64589.55,304862.68,4,Completed,East,Low,Product_159,2026-07-05
10005,4733.0,P2307,Cricket Bat,Sports,56395.29,56395.29,66546.44,1,Pending,North,Medium,Product_72,2026-08-21
10006,4432.0,P2169,Microwave,Home Appliances,13096.06,13096.06,46360.05,3,Pending,South,High,Product_119,2026-07-14
10007,4752.0,P6168,Jeans,Clothing,54800.68,54800.68,64664.8,1,Shipped,East,High,Product_55,2026-10-18
10008,7482.0,P8517,Microwave,Home Appliances,17088.86,17088.86,80659.42,4,Pending,East,High,Product_64,2026-10-15
10009,7543.0,P3266,Tennis Racket,Sports,59786.4,59786.4,282191.81,4,Shipped,North,High,Product_29,2026-03-20
10010,2040.0,P8668,Refrigerator,Home Appliances,63387.14,63387.14,299187.3,4,Cancelled,North,Low,Product_185,2026-02-28
10011,2827.0,P3591,Microwave,Home Appliances,61511.04,61511.04,217749.08,3,Shipped,North,Low,Product_185,2026-05-15
10012,5889.0,P9317,Cricket Bat,Sports,40663.77,40663.77,47983.25,1,Pending,South,Medium,Product_196,2026-03-24
10013,1319.0,P6947,Football,Sports,47955.67,47955.67,226350.76,4,Cancelled,South,High,Product_62,2026-10-18
10014,9727.0,P3103,Laptop,Electronics,58579.42,58579.42,69123.72,1,Shipped,South,Medium,Product_136,2026-11-07
10015,6107.0,P7118,Dictionary,Books,74320.19,74320.19,175395.65,2,Shipped,West,High,Product_64,2026-04-26
10016,4770.0,P1117,Tablet,Electronics,1780.64,1780.64,10505.78,5,Completed,North,High,Product_18,2026-01-17
10017,8953.0,P3167,T-Shirt,Clothing,41181.07,41181.07,145780.99,3,Shipped,South,Medium,Product_105,2026-04-08
10018,7939.0,P1887,Laptop,Electronics,52752.72,52752.72,186744.63,3,Completed,North,Medium,Product_187,2026-06-23
10019,8350.0,P4006,Phone,Electronics,15408.05,15408.05,90907.49,5,Cancelled,West,High,Product_20,2026-08-15
10020,1241.0,P4872,Football,Sports,4142.01,4142.01,24437.86,5,Pending,West,Medium,Product_124,2026-04-20
10021,7396.0,P8454,Novel,Books,13254.51,13254.51,15640.32,1,Cancelled,West,Low,Product_188,2026-10-12
10022,4566.0,P9883,Washing Machine,Home Appliances,12468.27,12468.27,44137.68,3,Completed,East,High,Product_13,2026-10-27
10023,2312.0,P2122,Dictionary,Books,4644.68,4644.68,27403.61,5,Completed,South,Medium,Product_31,2026-10-19
10024,9565.0,P5272,Chair,Furniture,49588.58,49588.58,234058.1,4,Pending,East,High,Product_68,2026-07-22
10025,1152.0,P2638,Sofa,Furniture,36632.24,36632.24,43226.04,1,Completed,South,Low,Product_68,2026-03-09
10026,5669.0,P9900,T-Shirt,Clothing,70353.69,70353.69,249052.06,3,Cancelled,North,Low,Product_142,2026-06-03
10027,5333.0,P2753,Mixer,Home Appliances,75120.51,75120.51,177284.4,2,Pending,East,Medium,Product_155,2026-04-18
10028,9280.0,P1832,Microwave,Home Appliances,16367.43,16367.43,57940.7,3,Completed,West,Medium,Product_12,2026-01-02
10029,3647.0,P8007,Jeans,Clothing,51005.36,51005.36,180558.97,3,Completed,North,High,Product_177,2026-03-18
10030,3426.0,P1685,Football,Sports,66784.14,66784.14,394026.43,5,Cancelled,East,High,Product_92,2026-04-18
10031,7658.0,P3532,Refrigerator,Home Appliances,53387.98,53387.98,188993.45,3,Pending,South,High,Product_106,2026-01-13
10032,5065.0,P2771,Sofa,Furniture,62612.68,62612.68,295531.85,4,Shipped,North,Medium,Product_57,2026-04-13
10033,4652.0,P4164,Notebook,Books,24484.75,24484.75,57784.01,2,Shipped,East,Medium,Product_18,2026-05-23
10034,6425.0,P2889,Shoes,Clothing,54393.5,54393.5,320921.65,5,Cancelled,South,Low,Product_68,2026-01-20
10035,8149.0,P9379,Headphones,Electronics,34821.64,34821.64,123268.61,3,Completed,West,Low,Product_49,2026-05-11
10036,4228.0,P2146,Smart Watch,Electronics,235.13,235.13,1387.27,5,Cancelled,East,Low,Product_32,2026-06-03
10037,7592.0,P3085,Tennis Racket,Sports,53384.74,53384.74,188981.98,3,Pending,West,Low,Product_98,2026-12-13
10038,7653.0,P1006,Refrigerator,Home Appliances,49279.64,49279.64,174449.93,3,Cancelled,East,High,Product_111,2026-10-24
10039,4501.0,P3780,Tennis Racket,Sports,37252.56,37252.56,175832.08,4,Completed,East,Low,Product_170,2026-11-21
10040,6085.0,P4262,Tennis Racket,Sports,7561.64,7561.64,17845.47,2,Pending,North,High,Product_63,2026-09-01
10041,4185.0,P7291,Football,Sports,36487.75,36487.75,215277.72,5,Shipped,West,High,Product_38,2026-12-02
10042,7965.0,P9486,Mixer,Home Appliances,71423.52,71423.52,84279.75,1,Shipped,North,Low,Product_64,2026-03-04
10043,6198.0,P8251,Dictionary,Books,64133.19,64133.19,378385.82,5,Shipped,West,High,Product_191,2026-09-01
10044,9540.0,P4919,Notebook,Books,60166.97,60166.97,212991.07,3,Cancelled,West,High,Product_183,2026-05-27
10045,2320.0,P4788,Sofa,Furniture,26934.22,26934.22,158911.9,5,Shipped,South,Low,Product_55,2026-02-02
10046,7812.0,P7883,Magazine,Books,26537.42,26537.42,125256.62,4,Shipped,North,Low,Product_98,2026-09-02
10047,7865.0,P9947,Tablet,Electronics,23959.15,23959.15,113087.19,4,Pending,West,High,Product_70,2026-08-12
10048,3704.0,P3091,Novel,Books,31169.69,31169.69,147120.94,4,Completed,West,Low,Product_145,2026-12-06
10049,8564.0,P5262,Laptop,Electronics,51455.7,51455.7,121435.45,2,Shipped,East,High,Product_117,2026-06-17
10050,5133.0,P8705,Shoes,Clothing,22332.7,22332.7,105410.34,4,Completed,North,Medium,Product_58,2026-11-29
10051,4266.0,P3496,Laptop,Electronics,60363.23,60363.23,142457.22,2,Pending,South,Medium,Product_172,2026-02-28
10052,7043.0,P2876,Cricket Bat,Sports,37256.22,37256.22,131887.02,3,Pending,East,High,Product_149,2026-01-14
10053,2245.0,P4978,Shoes,Clothing,31792.69,31792.69,75030.75,2,Completed,East,Low,Product_154,2026-03-03
10054,7071.0,P6590,Football,Sports,27841.58,27841.58,131412.26,4,Completed,West,Medium,Product_28,2026-08-10
