order_id,customer_id,order_date,status,region_code
O00001,,2026-09-05 12:35:18,DELIVERED,WEST
O00002,,2025-02-06 20:19:43,RETURNED,CENTRAL
O00003,,,DELIVERED,SOUTH
O00004,,2026-02-06 17:05:10,RETURNED,SOUTH
O00005,,,DELIVERED,EAST
O00006,,2025-12-10 01:49:59,DELIVERED,CENTRAL
O00007,,,CANCELLED,NORTH
O00008,,,CANCELLED,WEST
O00009,,2025-01-04 18:08:53,DELIVERED,NORTH
O00010,,,PLACED,WEST
O00011,,,DELIVERED,NORTH
O00012,,2025-04-04 21:59:54,RETURNED,EAST
O00013,,2026-05-06 20:28:26,SHIPPED,WEST
O00014,,,CANCELLED,SOUTH
O00015,,2026-11-04 12:05:12,DELIVERED,CENTRAL
O00016,,,DELIVERED,WEST
O00017,,,CANCELLED,SOUTH
O00018,,2025-03-01 12:25:42,DELIVERED,EAST
O00019,,,DELIVERED,NORTH
O00020,,,DELIVERED,WEST
O00021,,,DELIVERED,SOUTH
O00022,,2025-04-05 14:18:17,SHIPPED,SOUTH
O00023,,,CANCELLED,NORTH
O00024,,2025-07-05 16:24:08,DELIVERED,CENTRAL
O00025,,2026-01-06 04:54:07,RETURNED,NORTH
O00026,,,DELIVERED,WEST
O00027,,2026-10-05 18:30:28,CANCELLED,SOUTH
O00028,,,PLACED,CENTRAL
O00029,,,RETURNED,WEST
O00030,,2025-12-09 09:57:40,DELIVERED,EAST
O00031,,,CANCELLED,SOUTH
O00032,,,DELIVERED,CENTRAL
O00033,,2025-03-11 19:56:42,RETURNED,CENTRAL
O00034,,2025-11-08 07:18:50,SHIPPED,EAST
O00035,,,RETURNED,SOUTH
O00036,,,DELIVERED,EAST
O00037,,,DELIVERED,CENTRAL
O00038,,2026-04-03 19:26:19,DELIVERED,WEST
O00039,,,PLACED,WEST
O00040,,,DELIVERED,SOUTH
O00041,,2025-01-10 05:51:34,RETURNED,EAST
O00042,,,DELIVERED,EAST
O00043,,,PLACED,WEST
O00044,,,RETURNED,CENTRAL
O00045,,,DELIVERED,SOUTH
O00046,,2026-08-06 10:28:21,DELIVERED,NORTH
O00047,,,DELIVERED,EAST
O00048,,,PLACED,EAST
O00049,,,RETURNED,WEST
O00050,,,DELIVERED,EAST
O00051,CUST0001,2025-10-01 10:00:00,CANCELLED,CENTRAL
O00052,CUST0002,,CANCELLED,SOUTH
O00053,CUST0003,,CANCELLED,SOUTH
O00054,CUST0004,,DELIVERED,SOUTH
O00055,CUST0800,2025-05-02 10:00:00,CANCELLED,NORTH
O00056,CUST0001,2025-10-02 10:00:00,SHIPPED,SOUTH
O00057,CUST0001,2025-10-03 10:00:00,CANCELLED,NORTH
O00058,CUST0001,2025-10-04 10:00:00,DELIVERED,WEST
O00059,CUST0005,,SHIPPED,EAST
