product_id,product_name,category,subcategory,cost_price
P0001,Smartphone 1,Electronics,Gadgets,28271.31
P0002,Smartphone 2,Electronics,Gadgets,1566.6
P0003,Smartphone 3,Electronics,Gadgets,27727.75
P0004,Smartphone 4,Electronics,Gadgets,13023.03
P0005,Smartphone 5,Electronics,Gadgets,21746.7
P0006,Smartphone 6,Electronics,Gadgets,14908.99
P0007,Smartphone 7,Electronics,Gadgets,11512.75
P0008,Smartphone 8,Electronics,Gadgets,12828.59
P0009,Smartphone 9,Electronics,Gadgets,10650.6
P0010,Smartphone 10,Electronics,Gadgets,27253.71
P0011,Smartphone 11,Electronics,Gadgets,8285.7
P0012,Smartphone 12,Electronics,Gadgets,13408.04
P0013,Smartphone 13,Electronics,Gadgets,4501.51
P0014,Smartphone 14,Electronics,Gadgets,18442.49
P0015,Smartphone 15,Electronics,Gadgets,18528.47
P0016,Smartphone 16,Electronics,Gadgets,19435.99
P0017,Smartphone 17,Electronics,Gadgets,14991.8
P0018,Smartphone 18,Electronics,Gadgets,26489.22
P0019,Smartphone 19,Electronics,Gadgets,14396.98
P0020,Smartphone 20,Electronics,Gadgets,2677.26
P0021,Laptop 1,Electronics,Gadgets,11521.31
P0022,Laptop 2,Electronics,Gadgets,12606.08
P0023,Laptop 3,Electronics,Gadgets,19297.44
P0024,Laptop 4,Electronics,Gadgets,23926.08
P0025,Laptop 5,Electronics,Gadgets,7511.98
P0026,Laptop 6,Electronics,Gadgets,29822.91
P0027,Laptop 7,Electronics,Gadgets,16332.52
P0028,Laptop 8,Electronics,Gadgets,634.92
P0029,Laptop 9,Electronics,Gadgets,11505.82
P0030,Laptop 10,Electronics,Gadgets,21415.45
P0031,Laptop 11,Electronics,Gadgets,14416.55
P0032,Laptop 12,Electronics,Gadgets,23453.98
P0033,Laptop 13,Electronics,Gadgets,10353.82
P0034,Laptop 14,Electronics,Gadgets,16991.25
P0035,Laptop 15,Electronics,Gadgets,9682.05
P0036,Laptop 16,Electronics,Gadgets,8149.55
P0037,Laptop 17,Electronics,Gadgets,830.59
P0038,Laptop 18,Electronics,Gadgets,17933.63
P0039,Laptop 19,Electronics,Gadgets,927.64
P0040,Laptop 20,Electronics,Gadgets,24330.15
P0041,Headphones 1,Electronics,Gadgets,8463.93
P0042,Headphones 2,Electronics,Gadgets,24269.18
P0043,Headphones 3,Electronics,Gadgets,14176.95
P0044,Headphones 4,Electronics,Gadgets,10755.12
P0045,Headphones 5,Electronics,Gadgets,17540.47
P0046,Headphones 6,Electronics,Gadgets,7021.23
P0047,Headphones 7,Electronics,Gadgets,4830.76
P0048,Headphones 8,Electronics,Gadgets,7473.32
P0049,Headphones 9,Electronics,Gadgets,7272.53
P0050,Headphones 10,Electronics,Gadgets,16034.0
P0051,Headphones 11,Electronics,Gadgets,23747.55
P0052,Headphones 12,Electronics,Gadgets,22124.95
P0053,Headphones 13,Electronics,Gadgets,22933.29
P0054,Headphones 14,Electronics,Gadgets,28436.68
P0055,Headphones 15,Electronics,Gadgets,17291.98
P0056,Headphones 16,Electronics,Gadgets,29480.81
P0057,Headphones 17,Electronics,Gadgets,11683.25
