item_id,order_id,product_id,quantity,unit_price,discount_percent
OI000001,O00870,P0001,-3,40441.69,5.02
OI000002,O00458,P0001,-3,42637.31,11.23
OI000003,O00592,P0001,-2,33417.51,21.37
OI000004,O00599,P0001,-3,38321.18,28.67
OI000005,O00546,P0001,-2,39898.63,19.14
OI000006,O00870,P0001,-3,41003.3,6.22
OI000007,O00268,P0001,-2,44442.67,11.88
OI000008,O00374,P0001,-2,44854.25,17.14
OI000009,O00444,P0001,-2,39404.97,4.03
OI000010,O00147,P0001,-2,37696.06,10.55
OI000011,O00658,P0001,-1,38030.4,18.63
OI000012,O00497,P0001,-2,38067.43,12.27
OI000013,O00884,P0001,-2,35641.69,11.47
OI000014,O00244,P0001,-2,34300.46,19.36
OI000015,O00428,P0001,-1,35279.07,15.05
OI000016,O00620,P0001,-3,31792.52,8.29
OI000017,O00294,P0001,-1,32444.02,10.81
OI000018,O00620,P0001,-1,35911.4,20.25
OI000019,O00317,P0001,-2,42541.83,23.05
OI000020,O00342,P0001,-1,41904.2,29.94
OI000021,O00831,P0001,-3,42454.97,27.37
OI000022,O00069,P0001,-2,35074.85,10.4
OI000023,O00474,P0001,-2,43777.02,22.73
OI000024,O00073,P0001,-2,41073.46,29.68
OI000025,O00213,P0001,-2,34200.36,21.7
OI000026,O00275,P0001,-2,34299.38,17.61
OI000027,O00626,P0001,-2,42176.01,13.84
OI000028,O00871,P0001,-1,35578.11,5.64
OI000029,O00849,P0001,-3,37263.91,13.16
OI000030,O00632,P0001,-1,36571.18,17.33
OI000031,O00192,P0001,-2,45734.83,0.29
OI000032,O00890,P0001,-3,43977.45,10.19
OI000033,O00490,P0001,-2,41583.84,12.1
OI000034,O00858,P0001,-3,39196.31,9.78
OI000035,O00084,P0001,-3,43188.78,27.66
OI000036,O00218,P0001,-2,39689.21,23.97
OI000037,O00683,P0001,-3,44503.52,29.41
OI000038,O00270,P0001,-2,31559.67,11.59
OI000039,O00547,P0001,-1,35832.18,28.86
OI000040,O00715,P0001,-2,32035.57,3.13
OI000041,O00627,P0001,-1,31049.64,20.67
OI000042,O00561,P0001,-1,33541.49,2.08
OI000043,O00456,P0001,-2,33850.9,8.73
OI000044,O00597,P0001,-1,37859.76,11.06
OI000045,O00072,P0001,-1,35798.83,27.29
OI000046,O00461,P0001,-1,46479.99,3.87
OI000047,O00489,P0001,-2,42508.5,11.67
OI000048,O00272,P0001,-1,44559.99,9.29
OI000049,O00898,P0001,-3,41245.91,4.76
OI000050,O00649,P0001,-2,40000.24,15.07
OI000051,O00762,P0001,-2,34971.65,0.22
OI000052,O00207,P0001,-2,31563.87,11.98
OI000053,O00887,P0001,-1,39007.01,27.31
OI000054,O00563,P0001,-2,37989.19,1.17
OI000055,O00154,P0001,-2,40947.9,27.57
OI000056,O00416,P0001,-3,44111.85,23.77
OI000057,O00461,P0001,-3,43802.29,25.5
OI000058,O00486,P0001,-1,33426.85,18.53
OI000059,O00503,P0001,-2,36731.76,19.77
OI000060,O00776,P0001,-3,32072.51,20.96
OI000061,O00105,P0001,-1,44803.21,4.74
OI000062,O00704,P0001,-3,35236.71,27.49
OI000063,O00775,P0001,-3,42174.39,6.52
OI000064,O00566,P0001,-2,46525.02,16.58
OI000065,O00438,P0001,-1,42705.97,15.13
OI000066,O00859,P0001,-2,37141.57,4.95
OI000067,O00273,P0001,-3,31252.29,0.8
OI000068,O00715,P0001,-3,41420.43,13.86
OI000069,O00412,P0001,-3,36968.27,5.83
OI000070,O00099,P0001,-1,34571.44,21.27
OI000071,O00200,P0001,-2,41334.59,13.93
OI000072,O00533,P0001,-1,31863.26,19.71
OI000073,O00791,P0001,-2,32793.19,24.61
OI000074,O00226,P0001,-1,44045.08,18.21
OI000075,O00242,P0001,-2,32533.67,22.24
OI000076,O00233,P0001,-1,41352.26,0.34
OI000077,O00340,P0001,-1,37634.06,5.34
OI000078,O00792,P0001,-1,44918.36,15.97
OI000079,O00513,P0001,-3,31302.59,19.04
OI000080,O00596,P0001,-3,41209.61,19.8
OI000081,O00166,P0001,-2,41657.71,13.32
OI000082,O00673,P0001,-1,31317.23,11.32
OI000083,O00267,P0001,-1,36570.28,7.16
OI000084,O00154,P0001,-1,37328.28,29.68
OI000085,O00406,P0001,-1,41490.32,1.9
OI000086,O00159,P0001,-3,33238.39,5.01
OI000087,O00486,P0001,-3,32268.3,9.81
OI000088,O00636,P0001,-3,33587.51,6.21
OI000089,O00615,P0001,-2,45663.43,3.62
OI000090,O00279,P0001,-1,36279.12,5.21
OI000091,O00101,P0002,2,2275.92,0.36
OI000092,O00101,P0003,1,37196.84,1.98
OI000093,O00102,P0002,2,2272.3,11.07
OI000094,O00102,P0003,1,43940.5,12.33
OI000095,O00103,P0002,3,2138.03,29.71
OI000096,O00103,P0003,3,38420.22,29.72
OI000097,O00104,P0002,3,1845.03,28.77
OI000098,O00104,P0003,3,35072.33,18.93
OI000099,O00105,P0002,2,2297.27,29.17
OI000100,O00105,P0003,3,32046.93,5.26
OI000101,O00106,P0002,3,1975.86,25.55
OI000102,O00106,P0003,2,31013.01,0.53
OI000103,O00107,P0002,3,2092.79,15.33
OI000104,O00107,P0003,3,33619.41,17.62
OI000105,O00108,P0002,1,1899.64,18.49
OI000106,O00108,P0003,1,34827.27,22.14
OI000107,O00109,P0002,1,2245.36,1.8
OI000108,O00109,P0003,2,37828.25,6.06
OI000109,O00110,P0002,2,1874.44,1.14
OI000110,O00110,P0003,3,39398.44,28.38
OI000111,O00111,P0002,3,2475.35,4.03
OI000112,O00111,P0003,2,40117.98,22.81
OI000113,O00112,P0002,3,2398.96,12.45
OI000114,O00112,P0003,2,41808.29,6.87
OI000115,O00113,P0002,3,1987.74,7.27
OI000116,O00113,P0003,3,30800.6,27.53
OI000117,O00114,P0002,1,2407.59,20.89
OI000118,O00114,P0003,1,39556.3,11.44
OI000119,O00115,P0002,2,1855.83,18.89
OI000120,O00115,P0003,1,43694.06,2.1
OI000121,O00258,P0055,0,24927.93,4.25
OI000122,O00270,P0130,0,16883.47,17.78
OI000123,O00875,P0211,0,13558.52,2.34
OI000124,O00803,P0480,0,16221.32,21.65
OI000125,O00311,P0436,0,7917.47,7.47
OI000126,O00353,P0592,0,38269.06,19.07
OI000127,O00339,P0494,0,10577.53,29.18
OI000128,O00468,P0388,0,10011.84,13.24
OI000129,O00578,P0626,0,2918.24,22.81
OI000130,O00900,P0495,0,3411.5,11.44
OI000131,O00146,P0309,0,13710.01,4.58
OI000132,O00805,P0181,0,12225.2,13.91
OI000133,O00525,P0292,0,34124.58,18.18
OI000134,O00134,P0343,0,33367.72,14.08
OI000135,O00219,P0196,0,26762.7,25.85
OI000136,O00808,P0385,0,34260.8,27.77
OI000137,O00465,P0384,0,37663.25,9.23
OI000138,O00663,P0074,0,21384.49,1.16
OI000139,O00188,P0396,0,46032.05,4.87
OI000140,O00842,P0448,0,30297.9,23.14
OI000141,O00770,P0358,5,9263.79,132.11
OI000142,O00378,P0061,4,11473.44,137.05
OI000143,O00249,P0491,1,35349.6,118.71
OI000144,O00724,P0030,2,26318.7,123.32
OI000145,O00698,P0152,3,32307.18,129.34
OI000146,O00679,P0167,1,30547.79,105.52
OI000147,O00729,P0395,4,29205.61,148.73
OI000148,O00083,P0532,2,21095.36,109.13
OI000149,O00438,P0260,3,3627.06,127.13
OI000150,O00908,P0393,5,12289.13,121.17
OI000151,O00898,P0093,1,22811.52,139.06
OI000152,O00353,P0148,3,19851.31,146.57
OI000153,O00408,P0317,1,25491.94,141.0
OI000154,O00002,P0101,1,44531.35,121.47
OI000155,O00427,P0297,4,13190.74,119.36
OI000156,O00721,P0139,2,29713.91,125.63
OI000157,O00113,P0463,5,39961.66,110.1
OI000158,O00061,P0189,2,3588.56,145.21
OI000159,O00419,P0453,5,18182.95,132.19
OI000160,O00082,P0302,1,33359.46,114.56
OI000161,O00351,P0032,5,28469.02,14.56
OI000162,O00779,P0105,1,16322.53,22.55
OI000163,O00008,P0598,1,13664.96,15.67
OI000164,O00008,P0386,5,23214.58,28.86
OI000165,O00273,P0499,4,2145.13,18.13
OI000166,O00345,P0381,3,28960.84,24.51
OI000167,O00964,P0371,4,27723.73,1.72
OI000168,O00365,P0340,1,7892.56,26.12
OI000169,O00412,P0144,1,15009.18,26.07
OI000170,O00287,P0256,3,23905.04,20.59
OI000171,O00891,P0488,5,20987.81,5.64
OI000172,O00654,P0331,1,1499.59,26.2
OI000173,O00993,P0335,4,13444.06,14.54
OI000174,O00757,P0629,1,33314.61,28.17
OI000175,O00965,P0489,1,879.03,8.82
OI000176,O00200,P0148,5,20808.81,23.55
OI000177,O00734,P0518,1,17482.02,23.9
OI000178,O00309,P0563,4,507.75,13.39
OI000179,O00119,P0495,5,3805.46,6.35
OI000180,O00772,P0093,1,20997.29,21.47
OI000181,O00165,P0336,4,21164.37,6.61
OI000182,O00264,P0489,1,856.02,27.68
OI000183,O00649,P0505,1,31618.48,9.98
OI000184,O00230,P0591,5,29977.76,10.3
OI000185,O00933,P0392,5,13585.33,13.11
OI000186,O00239,P0230,3,33198.61,2.63
OI000187,O00092,P0350,5,4450.76,22.34
OI000188,O00119,P0588,3,4835.17,9.4
OI000189,O00390,P0592,1,36023.69,17.7
OI000190,O00195,P0399,4,19618.24,10.95
OI000191,O00696,P0131,5,14537.38,17.72
OI000192,O00110,P0406,1,5881.38,13.82
OI000193,O00149,P0305,2,9386.89,13.67
OI000194,O00616,P0292,2,39715.78,25.47
OI000195,O00848,P0037,5,1048.6,15.07
OI000196,O00706,P0128,3,31657.74,21.2
OI000197,O00490,P0222,4,24998.85,28.99
OI000198,O00061,P0343,2,44721.85,6.32
OI000199,O00751,P0232,1,45124.61,23.28
OI000200,O00878,P0501,4,17137.93,24.45
OI000201,O00935,P0165,1,4436.68,10.12
OI000202,O00695,P0486,3,40466.82,11.73
OI000203,O00541,P0291,3,17581.41,5.85
OI000204,O00877,P0563,4,490.34,9.7
OI000205,O00811,P0596,1,16135.99,21.29
OI000206,O00469,P0169,5,2660.08,20.88
OI000207,O00299,P0150,2,6060.04,22.45
OI000208,O00753,P0011,3,12377.14,17.27
OI000209,O00695,P0153,4,17140.63,12.81
OI000210,O00862,P0174,1,30413.63,29.22
OI000211,O00184,P0055,1,28337.37,19.5
OI000212,O00608,P0446,2,27382.24,12.12
OI000213,O00035,P0123,2,22263.71,9.08
OI000214,O00611,P0178,4,27764.28,29.73
OI000215,O00687,P0093,4,24872.96,19.51
OI000216,O00282,P0457,3,32349.37,3.5
OI000217,O00125,P0502,5,18887.56,17.61
OI000218,O00587,P0493,3,38826.81,2.84
OI000219,O00608,P0187,4,26895.92,19.34
OI000220,O00445,P0307,5,25704.11,9.76
OI000221,O00731,P0552,2,30612.58,21.02
OI000222,O00404,P0571,5,33159.02,15.9
OI000223,O00066,P0533,5,5204.39,24.56
OI000224,O00668,P0129,2,5165.39,26.93
OI000225,O00186,P0615,2,19883.57,13.42
OI000226,O00322,P0127,1,21177.89,6.19
OI000227,O00166,P0091,5,5264.12,22.59
OI000228,O00087,P0129,5,3960.73,28.99
OI000229,O00176,P0435,1,24003.89,1.38
OI000230,O00969,P0533,3,5461.38,13.35
OI000231,O00591,P0504,3,17965.69,29.58
OI000232,O00361,P0622,5,19905.04,20.64
OI000233,O00679,P0047,2,5318.37,4.25
OI000234,O00877,P0222,2,28551.02,6.48
OI000235,O00368,P0286,2,7788.1,12.66
OI000236,O00564,P0263,3,33356.37,27.11
OI000237,O00410,P0469,1,2893.09,20.3
OI000238,O00963,P0148,5,15758.84,18.89
OI000239,O00276,P0199,3,4140.43,19.43
OI000240,O00524,P0621,2,35300.12,4.6
OI000241,O00807,P0446,4,20855.54,18.11
OI000242,O00080,P0278,1,32613.94,20.52
OI000243,O00417,P0069,3,6221.69,10.88
OI000244,O00342,P0281,2,41496.6,6.77
OI000245,O00011,P0102,4,36016.43,6.67
OI000246,O00975,P0109,1,31502.82,21.85
OI000247,O00314,P0604,4,30164.57,10.47
OI000248,O00586,P0290,5,14914.63,2.97
OI000249,O00050,P0176,3,21002.03,11.69
OI000250,O00354,P0546,5,21811.76,25.49
OI000251,O00489,P0608,2,36152.27,20.6
OI000252,O00731,P0161,2,27855.33,17.03
OI000253,O00274,P0056,3,43728.19,7.47
OI000254,O00624,P0430,4,25782.94,29.59
OI000255,O00818,P0481,5,17841.73,28.58
OI000256,O00534,P0236,3,17126.58,2.61
OI000257,O00313,P0418,3,32181.04,19.04
OI000258,O00079,P0247,1,5937.02,1.72
OI000259,O00762,P0294,5,2457.07,24.25
OI000260,O00011,P0436,5,10807.45,4.09
OI000261,O00510,P0529,5,37080.46,12.16
OI000262,O00632,P0196,1,36768.91,21.08
OI000263,O00768,P0355,2,10652.28,19.84
OI000264,O00943,P0542,5,20650.55,13.46
OI000265,O00173,P0538,2,387.71,11.01
OI000266,O00137,P0528,3,5336.15,12.68
OI000267,O00389,P0176,3,21173.65,10.14
OI000268,O00696,P0257,5,15064.92,25.73
OI000269,O00298,P0308,4,28978.04,6.39
OI000270,O00756,P0584,4,4239.41,9.14
OI000271,O00956,P0529,1,40477.73,26.77
OI000272,O00869,P0501,1,17580.41,18.47
OI000273,O00337,P0307,3,25474.14,10.49
OI000274,O00740,P0192,4,18915.73,3.04
OI000275,O00504,P0204,1,4848.66,26.96
OI000276,O00421,P0128,4,20819.67,23.08
OI000277,O00257,P0233,4,22455.74,8.98
OI000278,O00439,P0188,5,13817.12,3.26
OI000279,O00450,P0451,2,4219.66,22.41
OI000280,O00006,P0369,2,20883.95,8.55
OI000281,O00137,P0406,4,6378.45,27.03
OI000282,O00165,P0205,4,38327.99,29.49
OI000283,O00122,P0433,4,39591.84,23.99
OI000284,O00732,P0132,3,3589.8,23.41
OI000285,O00410,P0515,4,34124.23,28.73
OI000286,O00812,P0023,2,22552.13,15.0
OI000287,O00786,P0244,1,41770.08,10.26
OI000288,O01000,P0613,1,22687.94,8.68
OI000289,O00498,P0086,4,29410.07,4.57
OI000290,O00524,P0193,2,2086.62,3.45
OI000291,O00270,P0255,4,5343.81,21.19
OI000292,O00830,P0107,5,30323.57,5.66
OI000293,O00876,P0607,2,26401.6,3.97
OI000294,O00040,P0282,2,12813.74,12.79
OI000295,O00632,P0206,1,22260.95,11.41
OI000296,O00538,P0315,2,14772.21,12.78
OI000297,O00063,P0524,4,33496.68,9.13
OI000298,O00276,P0374,3,43462.02,21.35
OI000299,O00253,P0329,1,7174.7,0.02
OI000300,O00677,P0331,2,1292.93,8.4
OI000301,O00622,P0105,4,17355.6,28.45
OI000302,O00373,P0344,3,16311.6,20.07
OI000303,O00700,P0567,2,18839.54,22.24
OI000304,O00371,P0605,5,7187.57,7.15
OI000305,O00283,P0217,5,32629.23,26.62
OI000306,O00134,P0618,1,28560.36,29.05
OI000307,O00906,P0197,2,27812.87,27.77
OI000308,O00077,P0561,5,18425.04,21.76
OI000309,O00780,P0208,5,11907.15,1.31
OI000310,O00197,P0430,5,32340.83,26.75
OI000311,O00778,P0575,3,46621.52,13.45
OI000312,O00735,P0122,4,25880.2,12.57
OI000313,O00954,P0517,1,830.01,8.22
OI000314,O00991,P0134,3,10638.33,16.99
OI000315,O00814,P0196,4,33680.5,15.97
OI000316,O00526,P0078,2,24024.06,15.28
OI000317,O00576,P0401,4,2496.27,6.21
OI000318,O00004,P0165,5,3837.05,20.9
OI000319,O00901,P0527,4,2032.18,21.62
OI000320,O00266,P0312,2,3402.25,8.06
OI000321,O00122,P0177,2,21706.75,7.15
OI000322,O00041,P0153,3,17001.16,8.11
OI000323,O00810,P0054,2,46750.92,6.3
OI000324,O00119,P0003,3,39945.41,29.17
OI000325,O00333,P0087,5,32058.39,4.01
OI000326,O00920,P0628,3,531.56,1.72
OI000327,O00836,P0012,3,16156.55,28.96
OI000328,O00181,P0264,1,21646.78,29.36
OI000329,O00797,P0599,1,20473.61,20.64
OI000330,O00969,P0265,5,38361.5,24.51
OI000331,O00226,P0334,3,7193.36,18.89
OI000332,O00879,P0406,2,5658.42,21.89
OI000333,O00445,P0379,2,24938.81,2.81
OI000334,O00186,P0472,2,35868.64,5.28
OI000335,O00584,P0504,2,18893.91,0.63
OI000336,O00167,P0183,4,18114.8,5.64
OI000337,O00147,P0075,4,6474.58,27.27
OI000338,O00994,P0414,1,44551.08,4.12
OI000339,O00769,P0014,5,20966.27,11.52
OI000340,O00113,P0015,1,21406.72,23.1
OI000341,O00275,P0148,5,14330.02,28.99
OI000342,O00981,P0110,5,27638.4,10.15
OI000343,O00725,P0089,2,5186.95,22.79
OI000344,O00914,P0456,2,5731.05,14.37
OI000345,O00250,P0059,5,43860.39,18.82
OI000346,O00127,P0023,1,21972.16,8.9
OI000347,O00524,P0427,2,9562.84,6.73
OI000348,O00233,P0439,4,14716.68,19.66
OI000349,O00232,P0395,1,26799.71,29.72
OI000350,O00230,P0106,3,12262.39,18.47
OI000351,O00122,P0371,1,34030.92,18.14
OI000352,O00183,P0440,5,33818.83,5.44
OI000353,O00436,P0155,3,35720.09,8.61
OI000354,O00897,P0108,3,27048.0,19.85
OI000355,O00956,P0273,1,26770.64,25.85
OI000356,O00153,P0152,3,30804.52,13.4
OI000357,O00816,P0491,1,25203.59,12.82
OI000358,O00745,P0287,2,13713.39,29.84
OI000359,O00187,P0396,3,36053.13,12.71
OI000360,O00711,P0425,5,30256.04,10.0
OI000361,O00822,P0253,4,8040.36,14.91
OI000362,O00547,P0506,5,5621.53,6.9
OI000363,O00086,P0596,4,14237.78,23.3
OI000364,O00831,P0226,1,8333.32,0.09
OI000365,O00872,P0019,3,20130.91,28.73
OI000366,O00944,P0114,1,18206.2,10.83
OI000367,O00870,P0144,3,14158.4,25.06
OI000368,O00565,P0433,2,34095.85,6.74
OI000369,O00765,P0143,1,33887.38,21.12
OI000370,O00387,P0028,4,820.23,21.04
OI000371,O00679,P0597,1,4676.21,17.82
OI000372,O00162,P0032,2,30213.16,2.37
OI000373,O00079,P0014,5,28654.26,12.49
OI000374,O00784,P0188,4,13470.01,22.44
OI000375,O00716,P0308,4,30540.34,10.12
OI000376,O00801,P0015,3,21185.86,1.8
OI000377,O00658,P0034,5,25625.28,15.1
OI000378,O00012,P0407,4,1192.22,26.28
OI000379,O00568,P0266,5,574.16,21.28
OI000380,O00434,P0162,3,1717.57,15.65
OI000381,O00974,P0130,2,19506.67,1.68
OI000382,O00402,P0190,5,16838.61,2.32
OI000383,O00710,P0481,4,18057.39,19.26
OI000384,O00848,P0391,2,11246.86,11.14
OI000385,O00435,P0201,3,21881.02,2.33
OI000386,O00618,P0345,1,20148.74,4.88
OI000387,O00110,P0068,2,24218.67,22.7
OI000388,O00317,P0194,5,196.31,27.88
OI000389,O00247,P0277,1,38294.41,16.94
OI000390,O00578,P0497,1,10208.07,2.8
OI000391,O00317,P0010,3,41111.06,28.76
OI000392,O00513,P0201,3,28909.57,21.77
OI000393,O00998,P0134,1,12205.82,26.9
OI000394,O00516,P0105,5,22552.1,4.51
