order_id,customer_id,order_date,status,region_code
O00001,,2026-05-09 12:35:18,DELIVERED,WEST
O00002,,2025-06-02 20:19:43,RETURNED,CENTRAL
O00003,,2025-02-25 00:25:26,DELIVERED,SOUTH
O00004,,2026-06-02 17:05:10,RETURNED,SOUTH
O00005,,2025-03-18 17:54:01,DELIVERED,EAST
O00006,,2025-10-12 01:49:59,DELIVERED,CENTRAL
O00007,,2026-01-23 14:40:58,CANCELLED,NORTH
O00008,,2026-04-16 16:10:20,CANCELLED,WEST
O00009,,2025-04-01 18:08:53,DELIVERED,NORTH
O00010,,2026-05-25 23:47:18,PLACED,WEST
O00011,,2026-02-27 01:18:16,DELIVERED,NORTH
O00012,,2025-04-04 21:59:54,RETURNED,EAST
O00013,,2026-06-05 20:28:26,SHIPPED,WEST
O00014,,2025-12-16 13:13:44,CANCELLED,SOUTH
O00015,,2026-04-11 12:05:12,DELIVERED,CENTRAL
O00016,,2026-04-30 23:55:36,DELIVERED,WEST
O00017,,2025-04-27 03:32:51,CANCELLED,SOUTH
O00018,,2025-01-03 12:25:42,DELIVERED,EAST
O00019,,2026-07-15 19:00:17,DELIVERED,NORTH
O00020,,2025-02-16 05:58:36,DELIVERED,WEST
O00021,,2025-04-20 09:15:30,DELIVERED,SOUTH
O00022,,2025-05-04 14:18:17,SHIPPED,SOUTH
O00023,,2025-12-13 03:55:25,CANCELLED,NORTH
O00024,,2025-05-07 16:24:08,DELIVERED,CENTRAL
O00025,,2026-06-01 04:54:07,RETURNED,NORTH
O00026,,2026-06-28 01:46:06,DELIVERED,WEST
O00027,,2026-05-10 18:30:28,CANCELLED,SOUTH
O00028,,2025-06-27 04:40:27,PLACED,CENTRAL
O00029,,2025-11-26 18:21:14,RETURNED,WEST
O00030,,2025-09-12 09:57:40,DELIVERED,EAST
O00031,,2025-10-29 16:29:15,CANCELLED,SOUTH
O00032,,2026-02-27 21:56:14,DELIVERED,CENTRAL
O00033,,2025-11-03 19:56:42,RETURNED,CENTRAL
O00034,,2025-08-11 07:18:50,SHIPPED,EAST
O00035,,2025-12-20 04:49:49,RETURNED,SOUTH
O00036,,2026-05-31 19:45:05,DELIVERED,EAST
O00037,,2025-04-29 12:49:28,DELIVERED,CENTRAL
O00038,,2026-03-04 19:26:19,DELIVERED,WEST
O00039,,2025-01-14 19:01:55,PLACED,WEST
O00040,,2025-05-29 01:55:55,DELIVERED,SOUTH
O00041,,2025-10-01 05:51:34,RETURNED,EAST
O00042,,2025-05-30 02:15:30,DELIVERED,EAST
O00043,,2025-07-28 19:42:12,PLACED,WEST
O00044,,2025-04-15 22:25:54,RETURNED,CENTRAL
O00045,,2025-08-18 23:33:39,DELIVERED,SOUTH
O00046,,2026-06-08 10:28:21,DELIVERED,NORTH
O00047,,2026-01-26 14:06:37,DELIVERED,EAST
O00048,,2026-07-20 01:57:31,PLACED,EAST
O00049,,2025-07-27 22:35:38,RETURNED,WEST
O00050,,2025-08-19 23:04:31,DELIVERED,EAST
O00051,CUST0001,2025-01-10 10:00:00,CANCELLED,CENTRAL
O00052,CUST0002,2025-01-15 10:00:00,CANCELLED,SOUTH
O00053,CUST0003,2025-01-20 10:00:00,CANCELLED,SOUTH
O00054,CUST0004,2025-01-25 10:00:00,DELIVERED,SOUTH
O00055,CUST0800,2025-02-05 10:00:00,CANCELLED,NORTH
O00056,CUST0001,2025-02-10 10:00:00,SHIPPED,SOUTH
O00057,CUST0001,2025-03-10 10:00:00,CANCELLED,NORTH
O00058,CUST0001,2025-04-10 10:00:00,DELIVERED,WEST
O00059,CUST0005,2025-01-20 12:00:00,SHIPPED,EAST
O00060,CUST0005,2026-01-20 12:00:00,SHIPPED,CENTRAL
O00061,CUST0267,2025-01-06 12:02:07,DELIVERED,SOUTH
O00062,CUST0046,2025-06-07 11:44:47,DELIVERED,CENTRAL
O00063,CUST0683,2025-11-05 17:51:37,CANCELLED,CENTRAL
O00064,CUST0372,2025-03-16 11:34:22,DELIVERED,SOUTH
O00065,CUST0539,2025-03-11 18:23:29,SHIPPED,CENTRAL
O00066,CUST0555,2026-02-18 03:20:51,DELIVERED,SOUTH
O00067,CUST0685,2025-12-06 12:03:13,DELIVERED,SOUTH
O00068,CUST0776,2026-06-28 17:17:20,RETURNED,NORTH
O00069,CUST0123,2025-12-21 16:13:34,SHIPPED,CENTRAL
O00070,CUST0642,2025-09-07 01:27:06,DELIVERED,EAST
O00071,CUST0396,2025-04-27 14:02:57,SHIPPED,EAST
O00072,CUST0031,2026-06-14 13:39:06,DELIVERED,CENTRAL
O00073,CUST0462,2026-05-14 01:35:47,DELIVERED,SOUTH
O00074,CUST0334,2026-06-11 02:59:53,RETURNED,SOUTH
O00075,CUST0797,2026-07-05 19:24:48,PLACED,NORTH
O00076,CUST0221,2025-08-07 15:26:41,CANCELLED,SOUTH
O00077,CUST0556,2026-03-22 23:32:26,CANCELLED,NORTH
O00078,CUST0770,2025-06-07 00:51:53,DELIVERED,EAST
O00079,CUST0044,2025-03-31 02:40:00,PLACED,EAST
O00080,CUST0577,2025-03-14 20:56:01,CANCELLED,EAST
O00081,CUST0423,2026-02-02 16:25:29,DELIVERED,WEST
O00082,CUST0329,2025-01-18 14:10:52,DELIVERED,CENTRAL
O00083,CUST0012,2025-03-06 21:19:16,PLACED,NORTH
O00084,CUST0372,2026-05-30 03:51:51,DELIVERED,EAST
O00085,CUST0627,2025-03-30 10:14:59,CANCELLED,WEST
O00086,CUST0396,2026-02-09 01:07:19,DELIVERED,CENTRAL
O00087,CUST0231,2025-05-20 14:14:08,CANCELLED,CENTRAL
O00088,CUST0308,2025-05-28 10:51:06,DELIVERED,EAST
O00089,CUST0017,2026-07-21 20:12:34,SHIPPED,NORTH
O00090,CUST0011,2026-02-08 19:33:25,DELIVERED,NORTH
O00091,CUST0318,2025-08-04 12:31:09,SHIPPED,CENTRAL
O00092,CUST0151,2025-06-14 06:41:56,SHIPPED,EAST
O00093,CUST0204,2025-04-28 06:36:10,DELIVERED,CENTRAL
O00094,CUST0061,2026-07-17 16:47:38,DELIVERED,NORTH
O00095,CUST0303,2025-03-10 09:07:38,PLACED,CENTRAL
O00096,CUST0504,2025-12-05 13:00:10,SHIPPED,SOUTH
O00097,CUST0108,19-10-2025 22:33:21,PLACED,SOUTH
O00098,CUST0331,2026-05-13 16:24:27,DELIVERED,EAST
O00099,CUST0716,2025-06-06 20:35:28,DELIVERED,EAST
O00100,CUST0444,2025-06-22 00:10:33,DELIVERED,SOUTH
O00101,CUST0735,2026-03-23 10:04:24,CANCELLED,SOUTH
O00102,CUST0701,2025-12-06 17:28:28,DELIVERED,EAST
O00103,CUST0799,2025-11-09 17:43:48,DELIVERED,SOUTH
O00104,CUST0667,2025-03-25 10:13:00,RETURNED,SOUTH
O00105,CUST0557,2025-07-21 09:35:02,CANCELLED,NORTH
O00106,CUST0750,2025-03-19 00:40:41,CANCELLED,NORTH
O00107,CUST0601,2026-02-19 21:28:57,SHIPPED,NORTH
O00108,CUST0570,2025-09-24 19:47:13,RETURNED,CENTRAL
O00109,CUST0489,2025-06-02 13:19:08,DELIVERED,CENTRAL
O00110,CUST0756,2025-10-25 04:52:28,DELIVERED,CENTRAL
O00111,CUST0098,2026-02-11 13:14:52,DELIVERED,SOUTH
O00112,CUST0634,2025-06-19 18:43:08,SHIPPED,SOUTH
O00113,CUST0189,2026-08-03 20:36:02,DELIVERED,SOUTH
O00114,CUST0759,2026-05-11 13:03:48,PLACED,WEST
O00115,CUST0243,2025-03-06 09:37:29,DELIVERED,NORTH
O00116,CUST0690,2025-07-31 18:51:20,RETURNED,EAST
O00117,CUST0403,2026-04-26 16:33:11,RETURNED,NORTH
O00118,CUST0670,2025-11-28 03:45:29,DELIVERED,CENTRAL
O00119,CUST0654,2025-10-08 09:35:13,DELIVERED,CENTRAL
O00120,CUST0184,2026-01-21 23:47:58,DELIVERED,CENTRAL
O00121,CUST0675,2025-03-21 18:48:40,SHIPPED,SOUTH
O00122,CUST0534,2026-02-20 12:50:55,CANCELLED,EAST
O00123,CUST0504,2026-05-09 21:59:55,PLACED,SOUTH
O00124,CUST0456,2025-06-19 08:22:25,PLACED,EAST
O00125,CUST0222,2025-06-03 06:48:18,SHIPPED,CENTRAL
O00126,CUST0740,2025-05-02 08:23:11,DELIVERED,EAST
O00127,CUST0743,2025-04-27 17:31:53,DELIVERED,WEST
O00128,CUST0221,2025-06-15 23:33:57,CANCELLED,NORTH
O00129,CUST0255,2025-02-14 04:39:22,DELIVERED,SOUTH
O00130,CUST0143,2026-06-09 01:25:36,RETURNED,SOUTH
O00131,CUST0063,2025-06-20 09:24:10,RETURNED,CENTRAL
O00132,CUST0421,2026-08-01 23:12:54,PLACED,EAST
O00133,CUST0093,2025-08-10 16:21:17,DELIVERED,WEST
O00134,CUST0499,2025-06-24 07:59:12,CANCELLED,CENTRAL
O00135,CUST0152,2025-07-06 22:41:25,DELIVERED,EAST
O00136,CUST0177,2025-12-17 16:30:37,DELIVERED,NORTH
O00137,CUST0241,2026-01-23 14:02:03,SHIPPED,NORTH
O00138,CUST0213,2026-06-20 18:21:47,DELIVERED,SOUTH
O00139,CUST0626,2025-04-09 06:27:35,DELIVERED,CENTRAL
O00140,CUST0620,2025-02-09 19:20:55,DELIVERED,NORTH
O00141,CUST0101,2026-05-09 04:44:42,RETURNED,CENTRAL
O00142,CUST0007,2026-03-18 19:00:25,DELIVERED,NORTH
O00143,CUST0720,2026-06-27 15:37:04,SHIPPED,WEST
O00144,CUST0793,2026-01-26 12:45:43,DELIVERED,CENTRAL
O00145,CUST0106,2026-03-12 04:52:28,SHIPPED,SOUTH
O00146,CUST0091,2025-10-18 21:46:59,RETURNED,WEST
O00147,CUST0269,2025-07-13 00:11:56,DELIVERED,NORTH
O00148,CUST0597,2026-06-20 04:17:24,DELIVERED,WEST
O00149,CUST0676,2025-07-30 11:30:05,DELIVERED,NORTH
O00150,CUST0164,2026-03-13 23:43:23,DELIVERED,EAST
O00151,CUST0554,2026-03-10 20:33:32,DELIVERED,EAST
O00152,CUST0702,2026-02-11 07:24:58,DELIVERED,CENTRAL
O00153,CUST0500,2025-07-03 13:28:44,DELIVERED,WEST
O00154,CUST0265,2025-11-11 21:01:53,DELIVERED,WEST
O00155,CUST0759,2025-05-22 04:20:08,CANCELLED,WEST
O00156,CUST0722,2025-06-15 03:39:03,SHIPPED,WEST
O00157,CUST0352,2026-07-18 22:21:21,DELIVERED,NORTH
O00158,CUST0170,2026-02-03 23:09:05,PLACED,NORTH
O00159,CUST0154,2026-04-28 21:51:15,DELIVERED,NORTH
O00160,CUST0275,2025-08-16 13:30:06,PLACED,NORTH
O00161,CUST0747,2026-01-29 14:35:13,DELIVERED,CENTRAL
O00162,CUST0299,2025-02-28 06:22:53,DELIVERED,WEST
O00163,CUST0016,2025-07-26 23:54:59,RETURNED,CENTRAL
O00164,CUST0298,2025-07-19 01:13:25,CANCELLED,CENTRAL
O00165,CUST0534,2025-08-26 22:23:54,SHIPPED,NORTH
O00166,CUST0374,2025-09-02 23:50:54,PLACED,SOUTH
O00167,CUST0094,2025-10-10 14:32:34,DELIVERED,WEST
